Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Access,Director
"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Shawshank Redemption,1994,A,142 min,Drama,1,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",80,Frank Darabont
https://play-lh.googleusercontent.com/l_2RUMwIi4S7aU1DeGYE-2kzff9MhQyn6fn9RNCvB7pWGmv9kYt5Wby8uVb-tffoibee=w1052-h592-rw,Mimo,,,https://mimo.org/,CPSC Python,1,,Partially Free,Game
"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxISEhUSEhMQFRIVGRgVFhcWExgdFxUYFSAXGBgYGBcYHykiGBolGxgVITEhJSkrLi4vFyA3ODMsNyotLisBCgoKDg0OGxAQGC0lHyUtLTItLS8tKystLTctLy0tLS0vLS43MC0uLS0tLS0tLS0tLTUtKy0tLS0tLS0tLS0tLf/AABEIAK4BIgMBIgACEQEDEQH/xAAcAAABBAMBAAAAAAAAAAAAAAAAAgQHCAEDBQb/xABOEAABAwEEBAcKCwcDAwUAAAABAAIRAwQSITEFE0FRFyJSYZGS0gYUMlRkcXOBk6EHCBYjNEJTsbLR8CQzY3Kis8EVYnSC0+E1Q0TC4v/EABkBAQEBAQEBAAAAAAAAAAAAAAABAgMEBf/EAC4RAQEAAgAFAgQDCQAAAAAAAAABAhEDBBIhMVGhBUGx0XGBkRMUIiMyQlJhgv/aAAwDAQACEQMRAD8Aj74Lu5uhpC2OoV9ZcFJzxcdBvBzAMSDhxipe4D9Hb7R7YdhR38ADSdJuA+wf+Kkp+0poN1a0MqmoAymGwy6cXNLiS4ziMWwIwIJxwjnxc88cd4Y7vpvTWMlve6eF4DtHb7R7YdhHAdo7faPbDsKQrXo+o8uLbQ9gdsAmMGiAScMicI8Jaf8ATbROFqfdjkMLpkc0RAjGcyujLwfAdo7faPbDsI4DtHb7R7YdhSTYrK9hJdWfUBAADmtEEEkmWjbI6E7QRXwHaO32j2w7COA7R2+0e2HYUqIQRXwHaO32j2w7C01fgX0a0we+vbDsKVbRRvgC85sEGWmCY2HmTW30nEyAcow9asRGPA5ozyr2o7KOBzRnlXtR2VINmsb2Nu8d2eJGOOK26h3Jd0KiOeBzRnlXtR2UcDmjPKvajsqRtQ7ku6Eah3Jd0II54HNGeVe1HZRwOaM8q9qOypG1DuS7oRqHcl3Qgjngc0Z5V7UdlHA5ozyr2o7KkbUO5LuhGodyXdCCOeBzRnlXtR2UcDmjPKvajsqRtQ7ku6Eah3Jd0II54HNGeVe1HZRwOaM8q9qOypG1DuS7oRqHcl3Qgjngc0Z5V7UdlHA5ozyr2o7KkbUO5LuhGodyXdCCOeBzRnlXtR2UcDmjPKvajsqRtQ7ku6Eah3Jd0II54HNGeVe1HZRwOaM8q9qOypG1DuS7oRqHcl3Qgjngc0Z5V7UdlHA5ozyr2o7KkbUO5LuhGodyXdCCOeBzRnlXtR2UcDmjPKvajsqRtQ7ku6Eah3Jd0II54HNGeVe1HZRwOaM8q9qOypG1DuS7oRqHcl3Qgjngc0Z5V7UdleL+FXuDsmj7NTq2fXX31RTN94Iu3XuyAGMtCnrUO5LuhRf8YGmRYaEgj9oH4KiggRCEKKk/4vH/AKo7/j1PxUlY2mKl914tuYXQBjEDMznN7ZlHOqe9ymmLRZKxq2aq6lUuFt4BpN0lpIh4I2DYvb6N7u9KVHlr9JmiLpN59OhEiIb4A3z5gYBMNN0m1jnB0iCLu3D/AD5496bUhVvuLjxcYENjPikEY+DmDtKhzv3TG3S7S6HEhtnaRgSBDnUmg7C7ItkYOkTzdLd0mlrOCX6XpucMqbKbTUMkgENfQaLuGJnAbzgcY545XUsass8xOryYMZ7JynnTBhtOqpzqddPzgklhEOwBwOdzHZjnkoK0P8IGlH2igx1sqOa+tSY4GnRxa57WkYMnIlWJfekw0EbJeRjz4FbrLh0q1umHMoHBhJEgYxfA45y4x9Y3Y7aj7ZIuizkEkG8XYCcCIzMESP8AYcccOsC+cWNjfrD911Icas4MplsZ610zGUXN+2cuhRXKpVrbPGp2aIOT3Te4waJIywYSdziIwkpq1LbLbraAF7GSZLYyzMeqdo2Au6gfXkTSpROJFZ2HPGrxTy6Of3oPPNtNtL3N1VENBAvkmHAg4gXpOMYYRvOY3Uatrg32UL3Fi6THhcaZPJyG/bsHbujn96Lo5/eg4VJ9tMXm2cSYMXiWjlDHH+XmzSG1LcRiyzNJGxznXTuxifPGOeGR9BA/UogIOdYnVS2aoYHYYNMgYNnE58a9HNGAyTiU5gLMBA1lEp1CIQNZRKdIQNZRKdIQNZRKdIQNZRKdIQNZRKdIQNZRKdIQNZRKdIQaKRMrg93nfWoZ3vro1rddqf3uqh3gwC6L9yboLomF6VEo1jem7ef7jTa+8m99Xtfx4nw7snV3r0ca7HhAHKcZXhvjIfQLP/yB+CopZlRL8ZD6BZ/+QPwVETK7u1eEIQiHejfCPmP3hdl1mILm3m3mC84A4gHD8ulcfRfhHzH7wu3RtbxTNN5L8HBpOF2+bztmMlS9XbpdOH+z7zP8v0v1uvc3v/7vesF28+9dKnpq0NECoQBH1GbMB9XFZZpy0ggipBGUU6eGWy7lgMF0cWrQP0qzenof3GKy2mdKFtcUe+KNmGrNS8+7L4JkC+YgDEwq3aJrOfbLO95lxr0JMATD2DIYZAKz2mNC2W1XRabPRrXJu6xgcWzEwSMJgSNsBYzx6tbtn4N8PPp3dbM9B6bNqsVO00ySXyAWs8K64tkNfdMGPyW02mvA/eTj/wDHG938SBkPd6ujqKdwU9WzVgBoZdF0AZANiABuWpuj6AgijSBbi03G4YzhhhjirlZbbEZpV3Oxh4AIkFgF7zYp6m4osGTG9A/W0pdOGiGgAbhgoFB0g7M/84pqar4jjT/IO1z+5Ob3MkGmzHitxzwz2Y+pSzay6Zol2JJ8wuxHvMrVaS8GWuIEHC4DjhBzBwW5kAQAANwWHtaTJaCRt24YhWdkvc2s5qlwl0t2/NATntDsNnRzpzaC6OKcZ3T/AJCwym0GQ1oOUgCUp8HAgEZ4q7GhlZ/+7qDb/wBS3at/LHV92aTqmchvQNmAW2+mzZRTEP2a845cRvm3bwU8vpF1vJb0D9bSsZdX9qzXzaoJJiqcDjxW4DHDL38y4lHuts4eQ6pULBk4sF04AyLvGynYu5aGsukO4ocRJDywk5+E0g7N643yf0fEXGR6d+6OVuWkd2y2unUF6m9rhvB9X+Cty49gsNlouvUiGk5/PuIPnaXQehdDvxnLZ1wgcITfvxnLZ1wjvxnLZ1wgcITfvxnLZ1wjvxnLZ1wgcITfvxnLZ1wjvxnLZ1wgcITfvxnLZ1wjvxnLZ1wgcJFZ0NJGYBPQtXfjOWzrhBtdPlU+sEHgqfdZay0O11kEiYIN4Z4Eb8PeF5v4c7U6romx1HxefWBMCBNyrsUq97WT7Oy9Wn+SjP4xV0WCzNa0NAriAAAALlTIBBX1CEIH+h/DMZ3T94XudO0dHh9EWapULC0648YkZXDxmiHHjXgJAgQuZ8E9gpV7XUZVY17RRc4B2U36QnoJ6VJdn0LYn3osjOLGF3EzI38y+bzPxTDl87hcbda8a+b0cPlsuJNyxHQs9kn9/WiBjqduAP1tmJ8w50xrBoi6SRAmREOjjDnEzB3EbZUr/wCgWSfobejzY55Y+5bKXc3YznZabfOP/K89+PcGd+i+33b/AHHL1nui7Qcd82bfr6X42R/lWpYoxsXc1Y21KbhZ6QIe0gxkQQQelScxe3kufw5uW4SzXq48XgXha3fJSFot1qbSpuqODi1uJDRJ3YAZnmC88e7mzy75u0cUgE3GiL1NlUEy4XcHtGMcYxun2uT1CFxmd0VI1KVK7UvVmNe2bsC+KjgDxpmKbtkZYpsO6+jLQ5lZt654WrBaHv1Yc5t+Q0Zl0XYwmcEHokLz1k7raNRhcKdYQabYfcbOuBLTLnwAIcJJzECTgtPy5s2xtY4gCA3JzrrTN7AObdqCfquG3BB6dC8ye7WgCQ6nXa4NvFrmsa4cR9QggvwIY1hJMACtTxzuvdE90lG0VNUwVA65rAXAXXNik6QQTP70DmLTsLS4OyhCEAhCw4wJQZWHZIa4ESMQUOyQRv8ADpH+mYxGvp55ZP3qEq3+ny3a3jXtX4W25GtwIm7OX1uZWvLA7AgHziUw78s+I4siZGrP1QSdm4HoIzwU13l3ewq6W6NveFaLkGTcoXplt0AXoiL8mc7uGacUqeiSWzUtTQZvcSibvPIOOEnAHYrRWTVVASwMIBg8SMR51v70ZyWdULfUmlQbWLNfdqiDT+qX3LxwEzGGc+qFq+a/h/0q4fejOSzqhHejOSzqhOo0p581/D/pR81/D/pVw+9GclnVCO9GclnVCdRpTz5r+H/Sj5r+H/Srh96M5LOqEd6M5LOqE6jSnnzX8P8ApXe7nRo24/vrV3pNyDzNiY2eFzq0vejOSzqhJfZ2ASWsj+UKXI0roWaCjAiY54npyXKa3RmprzqtbNXVYnLHV83TzKzzKVMzxW4f7BtSXtpgAlogmBFOd+wDDLNSZy+FsVc0+NHd7N731ev+vBO45TzwpM+ML9AsvpW/23qWWUWObeDWwd7I9xEhRT8Y36HZ/Tj8FRXYr8hCFB2e5bSFWhVc+i8scWFpIAyJaYxB2gdC9q/ultE4W2rG80myM9kYmQBsznZj4DQ3hn+U/eF7B1oZMmxCTvdVA2DwRAiebbmuWfLcLiXeWMt/CX6xqcTLHtL70/8AlHaMf2+plP7hvRln/wCU1f3VW0ExaXkbDcYJG+LuCbC202kg2WnzAufhltJk4A9KY2io1ziWsDG7GguMetxJKzjyXAnnCX/nH7F42frf1r0Ohu6i2utFBptDyHVaQIusxBe0EeDuVkmKqugvpVn9NR/G1WqYuuPC4fD/AKMZPwkidWWXm7JtBddN0Sf1Pulc+pUtM4U2XZO0TdwA2+FIcdwBGZldRC0jnipWB8AEXtkYMlw3jG7cPrPqVfqkeCBg3CBMkw+MYgAEjfI3YvkIOZftMkXKcXiJnG7IunbkA+RH1mxMFKe6uCQGg7jAx8OJx5mdJwXRQg59V1fjQ1v1ruUbQL2OGEHbnsQ99oAENZN0THKIMjE5BwbjtD9kSughBz9baDPEaMMJjwrp2Xsr0DPb6wk1rTjxBMkDERADoOe1wbuwOQXSQga2R9Qk3xA2HDecxJxiD+sXLubNZQg10ad0HaSZO6TuGwfrNLdksrDslJJJqFu2tua5tntdpNQB1JoYXOBO5omDN7GcNm1dECUzqaQaCZp2nAEkikYAHPt3wNyznhcrO9jeGcxl7SnRqP5IOf1ojKPPtQar+QOuE1FvbsZaDgDhSdEETgYgo7/EE6u04bNUZ9UjH1LUmmD6k4nwhH/VKXK0Wch7Q4B4nY4Qd2S26vz+5UKRKTq/P7kavz+5ApEpOr8/uRq/P7kCkSk6vz+5JqNAE4nzJbobJQtLcZwdhzD3LFUwJh5xiABO6fMpLL4XTc84KIPjG/Q7P6cfgqKWmYtvQ4czhj6wol+Mb9Ds/px+CoqivyEIQP8AQ3hn+U/eF7kMtUSLZSIbBkWrwSeKPNnEnDFeG0N4Z/lP3helFHjwWQ2SL115gb4Bx9Su9Jps0pTfg+pXpVT4Au1b5AE9Dc42YpgusLDR+1Gfi9fLDHPz9HqWmrZmBstIc7k6qqN04kxv6PUnVDRGgvpVn9NR/G1WqYqt6Gb+0Wclt06+hvx44nPzBWkYluyFIQhRQhYBQ6diDJXM05V+bDQ8hxqUGm64h119Wm12IMiWuIkY4rprkaX8B3/Isv8Acs6zldWLJ5aK1kY2sKX7Vxg0g98WwjHWXpcCWCLrc3fWxiW3nejop1KtO++6Cy7fqOcZc0SA55JzjCV5fSWkIqEa0DBuHfAH1W7O/wBv4R68z3dEvlrjMy2zmZmZa3Gbz58953nOaudsxthO9d0BErKwQqjKFhxhZQCw7JZWHZINbTiuZZ32vWNv3NXede8HwcbsYzOWxdMCU0FpdiNTUwnHCDAJHPsjLPKRBOM8OqzvZr0bwz6Ze0u/U4Lqmy4c8zHmiB50F1TdT6x/JZoC80FzSw8kkEjokLZqwtSaYYpOP1rs8xJ+9LkJOrCNWFQqQiQk6sI1YQKkIkJOrCNWECpCJCTqwkvYAJgnmS9hskIkLSwTMtI9axUkAEMc4k4gECBjjjH6Kksq6bnnBRB8Y36HZ/Tj8FRS0wS2S0tO4kGOjBRL8Y36HZ/Tj8FRVFfkIQgeaMPGP8p+8L09o0cxrqY17QHhxLicBEw7D6piPzxA8vo3wj5j94XqLRodrXUhr6cVL0udgxsCQSQXYHKYH5Zt1ljN+v5mu17MjRtPxql78BzwdmOAnmkYplbaIY662o2oIBvNJidyd/6Szxqzetzufm/UhNbdYxTiKtKpM/u3ExEZ8+OyV1ZbtBE99WbE/v6O3+IxWyYql6CH7VZvT0P7jFbRilWFISX/AJIuhZUoBCTdCLoQZErnW2ympfY5pLHOa7CQZZcLSHNe0ghzQfUuhdCzdCxnh1a7rLpwzo9uPGtOGB/aLRhkftucJxZrEWSGh/Gc0uL3PcTEfWqVHEAAZfmn5srOSMc88VsDAuU4WV7ZX3b6p8oy4LKTdCLoXocykJN0IuhApYdksN2/rcsuyQa2nFeW0DYdKstLnWq00X2Y62GNLSeM4GjDRQYW3WyDL3SSvUtGKZ1K1YTFBpABP70CTsA9+PNsnCy6lgcEP2OYPOwk9IcEHWcun7N3aTfXVvsBkD++GcYjLOcEa2tB+YbImPnRjGWzCcN8c8QZJoPaZw4xBPM0gdBJSrwSWtwEgTtxSrgQF4IvBFwIuBAXgi8EXAi4EBeCLwRcCTUbhgJPnUt0FXgi8FraDjIHNjmh4OENBxxl0YY/+OlJdrotzhCiH4xv0Oz+nH4KiltgN2XAB20AzHrUSfGN+h2f04/BUVRX5CEIHmjPCPmP3hekraILdUL7RrWzNTiNaQ0OguJIOYE4YrzWjPCPmP3hekqaHcHU2h9OaoJBLgG4CcXHCCMiYzUt1lJv17eprtezI0P/AB7H668ZCdo9XnTK0Ubji2810RxmElpkA4HDfHqT206GexheX0CBGDaoLsY+rnmYIMEQcFzoXRk90EP2qzenof3GK2jFUvQQ/arN6eh/cYraMUqwP/JKWHLE8x9yypNdriOKbp3xPqK0llXlNHPGzzb/ANY7HBdzFZnmPuQNalOtsewZfU58du7z/mGnWjw2Xow4uEyMYmThIzTmeY+5E8x9yBsadbY9ue1v1eLhA24O6fUMinVjw2kwRlAmcDGOzD804nmPuRPMfcgb1KdXIPbzmPuHnn3JLqVbZUbP8uATqeY+5E8x9yBNFrhN4g44cw3LYk3uYonmPuQDdv62BZdksN2rLskGsFeY0HoC10bQatW21KtM635s6yPnHBzMHPLRcaC0QBMr07RimhFox4tn23TLtxuyI3xOOU5Ky2TQ3Frtj3D1A+84rJa77Q9VqbftMniWYCRiXOxECT4Ocz0c6eUGuxvhmZi7PgybsztiJUk0M03QMSSd8D/CXfCLo3DoRdG4dCAvhF8IujcOhF0bh0IC+EXwi6Nw6EXRuHQgL4RfCLo3DoWHtwwAlKEVCTkSPV+v0FqLH/aO6rfyW1jTtDdkYdKw9roECnM4yDEY5c+Sku10y3KCSTvj8lEnxjfodn9OPwVFLbGm7xrt7bdy9UqJPjG/Q7P6cfgqKor8hCEDvRnhHzH7wvQu0W++1gIJdMbAIBcRiMs4O1ef0Z4R8x+8LqCTDZJ3DZJ3BXujov0FVF+DTOrm8GvBMgTDWxLj5gmFooljnMJBLSQS0ggxuIzC21NG1m50qo/6D+SVT0ZWJa0U6l5xhoLbsnE4Xo3FOvH1izDK3UncvQQ/arN6eh/cYraMVTNBtItdnBzFoog+qoxWzYlSG+k7c2hSdVcHFrBJDYnMDCSN6878vrP9naOqztru6csJr0KlJpALwACchiDs8y8X8ga/2tH+r8lFdf5fWf7O0dVnbWPl/Zvs7R0M7a5bO4O0AgirRBBBGDsxiNidDuUtg/8Afo9T/wDKod/L6zfZ2jqs7aPl9Z/s7R1Wdtcyv3D2h5vOrUSfMR9wWv5A1/taP9X5IPWaN7oKdai+u1tQNY66Q4NvEw04QSI4w2pPyjpcmr0N7Sa6E7n30bNUoOewue+8CJgCGDGf5Sk/Jypy2e9fI5/ic7jxJOXx3Nf68/m9XAx4Nx/mXuefKOlyavQ3tI+UdLk1OhvaTP5OVOWz3rY3QdYC7rGRiMt+eznK8U43xX54+2P3jtcOW9fqcfKOlyavQ3tI+UdLk1ehvaTP5OVOWz3o+TlTls96n7f4t/h7T7nRyvq7ej7a2s0uaHAA3cY3A7Dzpy7JMtD2I0WFriCS69h5gP8ACeuyX3eWvEvCxvFn8XzeLiTGZXp8NQMLiu0HM/PPxJOTpxJPK2Su23NM6jK+N2rRyMB1MnHZJDhhzDLeV6sc8sfDMys8G9g0Vq3l+te6WlsYxiQZxJxEJ+ae5zxzCI94WprbQfr0Mhhq3GDGON7ETzBZbTr/AGlHPAikcp28bHBZytyu75Llb5bCz/fV/p/JbaboES485z9ya0adowvvo84ax285EnDCNhjnTqg1waA8gu2kCB0fr1KIVrBzo1g50pCBOsHOjWDnSkIE6wc6NYOdKSagMYZpQawc6NYOdJa12Mkc2CHtcYggY48WZGOH3dCku/krLngqIvjG/Q7P6cfgqKXGtIbDiCdpiJ9SiP4xv0Oz+nH4KiqK/IQhA80Z4Z8x+8LprmaM8I+Y/eF0gfMtRmt/fVT7Sp13fmsOtDzEveYy4xw2YY4LUhOmei7p9oL6VZvT0f7jFbNiqXoL6VZvT0P7jFbRiUhSEIWVCEIQCEIQCEIQCEIQCEIQCw7JZWHZINQK4ru5qiZxfiSfBpHwiScTTnbvXaWVvHPLHxVmVnhy7BoOlSeXtLyS0txDAIcQT4DBuT91Fp5fqe8c+TSFtQs5ZXK7vkuVvlpNBv8AE9q/81tpmBAn1uJPScVlCiFazmRrOZJQgVrOZGs5klCBWs5kazmSUIFazmWi22+nRY6rVc1lNglznGGgc5K2rxvwraHr2qw3KAL3MqMqupjOq1ocC3nguDoGPEwxhIOzoPuusVtLmWau1724lt17XQIBcGvaC5skYjDEKPPjG/Q7P6cfgqLnfB3oW01NIUa4s9ehTomo6o6pSFOQ9pa2k0Brb8EnZlMxgF0fjG/Q7P6f/wClRWzSRX5CEKK6GhaTXVCHVKVMXTxqhIbmMJaDivSWwa0h1S22FxAib7hhn9WkF4tZlXaaer7xp+N2H2lT/to7xp+N2H2lT/trykolXZp7XRdClTr0ajrXYrrKtN7ofUJhjmuMDV4mAVPHCjojx2l1KnYVUpRKlFruFHRHj1LqVOwjhR0R49S6lTsKqMolRVruFHRHj1LqVOwjhR0R49S6lTsKqMolBa7hR0R49S6lTsI4UdEePUupU7CqjKJQWu4UdEePUupU7COFHRHj1LqVOwqoyiUFruFHRHj1LqVOwjhR0R49S6lTsKqMolBa7hR0R49S6lTsI4UdEePUupU7CqjKJQWu4UdEePUupU7CwfhR0R47S6lTsKqUolBazhP0P47S6lXsI4T9D+O0upV7CqnKJQWs4T9D+O0upV7COE/Q/jtLqVewqpyiUFrOE/Q/jtLqVewjhP0P47S6lXsKqcolBazhP0P47S6lXsI4T9D+O0upV7CqnKJQWs4T9D+O0upV7COE/Q/jtLqVewqpyiUFrOE/Q/jtLqVewjhP0P47S6lXsKqcolBazhP0P47S6lXsI4T9D+O0upV7CqnKJQWs4T9D+O0upV7Cjj4b+66w22y0WWW0MqvbVvOAa8ENuvE8Zo2kKGpWEAhCEH//2Q==",CodinGame,,,http://codingame.com/home,CPSC Java,3,,Free,Game
"https://yt3.googleusercontent.com/eQCR5UeLECEjxStDxtBHuBm3yjwJry4XWy2oU2AP60NEO0UENChMBbYCBVwviWVS_9vSJdHP6ds=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",The Organic Chemistry Tutor,,,https://www.youtube.com/@TheOrganicChemistryTutor,Math Linear,1,,Free,Video
"https://yt3.googleusercontent.com/eQCR5UeLECEjxStDxtBHuBm3yjwJry4XWy2oU2AP60NEO0UENChMBbYCBVwviWVS_9vSJdHP6ds=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",The Organic Chemistry Tutor,,,https://www.youtube.com/@TheOrganicChemistryTutor,Chemistry,1,,Free,Video
"https://yt3.googleusercontent.com/JhNiRfH3gKqgD8N-7CFzo-R75OEUA6WuWmK7fPYD-z88SXeqaJ4hX4RW3YEz4yyPWhPfD9o1oZg=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",freesciencelessons,,,https://www.youtube.com/@Freesciencelessons,Physics,1,,Free,Video
"https://yt3.googleusercontent.com/JhNiRfH3gKqgD8N-7CFzo-R75OEUA6WuWmK7fPYD-z88SXeqaJ4hX4RW3YEz4yyPWhPfD9o1oZg=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",freesciencelessons,,,https://www.youtube.com/@Freesciencelessons,Chemistry,1,,Free,Video
"https://yt3.googleusercontent.com/JhNiRfH3gKqgD8N-7CFzo-R75OEUA6WuWmK7fPYD-z88SXeqaJ4hX4RW3YEz4yyPWhPfD9o1oZg=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",freesciencelessons,,,https://www.youtube.com/@Freesciencelessons,Biology,1,,Free,Video
"https://yt3.googleusercontent.com/3Iq1hZpLLoLTCsFXtCoW74gVC2WJVtXV3eLVM3Ck0noqX0j0UaaDA19Y1IJXLRvnN_idYn-9YQ=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",Jacob Clifford,,,https://www.youtube.com/@JacobAClifford,Economics Micro,2,,Free,Video
"https://yt3.googleusercontent.com/3Iq1hZpLLoLTCsFXtCoW74gVC2WJVtXV3eLVM3Ck0noqX0j0UaaDA19Y1IJXLRvnN_idYn-9YQ=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",Jacob Clifford,,,https://www.youtube.com/@JacobAClifford,Economics Macro,2,,Free,Video
https://media.geeksforgeeks.org/gfg-gg-logo.svg,GeeksforGeeks,,,https://www.geeksforgeeks.org/,CPSC Python,1,,Free,Website
"https://yt3.googleusercontent.com/e3oXxGNaNy5bQ5qsrs6PlKd9yvcTn1UBFVKeJlqkPCJFgGCNexcNfboMcGtUuH0nttcJ6-HXO7k=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",Bro Code,,,https://www.youtube.com/@BroCodez,CPSC Python,2,,Free,Video
"https://yt3.googleusercontent.com/e3oXxGNaNy5bQ5qsrs6PlKd9yvcTn1UBFVKeJlqkPCJFgGCNexcNfboMcGtUuH0nttcJ6-HXO7k=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",Bro Code,,,https://www.youtube.com/@BroCodez,CPSC Java,2,,Free,Video
"https://yt3.googleusercontent.com/rtx6wrlNMX5jMr6opms9wJD2fijxTa4U8-ShFL_8VmUITwWcmmy0RHicysr2KfdGGG2yW8uwqw=w1707-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",Science Shorts,,,https://www.youtube.com/@ScienceShorts,Physics,3,,Free,Video
"https://www.savemyexams.com/cdn-cgi/image/f=auto,width=384/https://cdn.savemyexams.com/logo/sme-logo-small.svg",SaveMyExams,,,https://www.savemyexams.com/a-level/chemistry/cie/25/revision-notes/,Chemistry,4,,Partially Free,Website
"https://www.savemyexams.com/cdn-cgi/image/f=auto,width=384/https://cdn.savemyexams.com/logo/sme-logo-small.svg",SaveMyExams,,,https://www.savemyexams.com/a-level/chemistry/cie/25/revision-notes/,Physics,4,,Partially Free,Website
"https://www.savemyexams.com/cdn-cgi/image/f=auto,width=384/https://cdn.savemyexams.com/logo/sme-logo-small.svg",SaveMyExams,,,https://www.savemyexams.com/a-level/chemistry/cie/25/revision-notes/,Biology,4,,Partially Free,Website
